space_id,label,areas,volumes,perimeter,X,Y,Z,aspect_ratio,boundary_line,surface_areas,ax1s
f1316588-291c-4adb-9620-9bee205a6683-00070bbe,Bedroom,9.024,20.755,12.04,2.82,3.2,2.3,1.134751773,5,45.74,2.203785076
f1316588-291c-4adb-9620-9bee205a6683-00070bbf,Bedroom,6.016,13.837,10.16,1.88,3.2,2.3,1.70212766,4,35.4,2.558395005
f1316588-291c-4adb-9620-9bee205a6683-00070bc0,Evacuation room,2.58,5.934,6.44,1.72,1.5,2.3,0.872093023,4,19.972,3.365689248
f1316588-291c-4adb-9620-9bee205a6683-00070bc1,Balcony,2.82,6.486,6.76,1.88,1.5,2.3,0.79787234,4,21.188,3.266728338
f1316588-291c-4adb-9620-9bee205a6683-00070bc2,Balcony,3.6,8.28,7.6,1.8,2,2.3,1.111111111,4,24.68,2.980676329
f1316588-291c-4adb-9620-9bee205a6683-00070bc3,AD/PD,0.954,2.194,4.38,1.59,0.6,2.3,0.377358491,4,11.982,5.460760186
f1316588-291c-4adb-9620-9bee205a6683-00070bc4,Bathroom,3.657,8.411,7.78,1.59,2.3,2.3,1.446540881,5,25.208,2.99699207
f1316588-291c-4adb-9620-9bee205a6683-00070bc5,Bathroom,3.71,8.533,8.8,1.7,2.7,2.3,1.588235294,8,27.66,3.241532872
f1316588-291c-4adb-9620-9bee205a6683-00070bc6,AD/PD,1.2,2.76,5.2,0.6,2,2.3,3.333333333,5,14.36,5.202898551
f1316588-291c-4adb-9620-9bee205a6683-00070bc7,Living room,11.492,26.432,13.56,3.38,3.4,2.3,1.00591716,5,54.172,2.049516488
f1316588-291c-4adb-9620-9bee205a6683-00070bc8,Hallway,8.328,19.154,15.98,6.69,1.3,2.3,0.19431988,13,53.41,2.788393267
f1316588-291c-4adb-9620-9bee205a6683-00070bc9,Kitchen,11.44,26.312,13.8,2.9,4,2.3,1.379310345,8,54.62,2.075858924
f1316588-291c-4adb-9620-9bee205a6683-00070bca,Dress room,4.75,10.925,8.8,1.9,2.5,2.3,1.315789474,5,29.74,2.722196796
f1316588-291c-4adb-9620-9bee205a6683-00070bcb,Bedroom,11.8,27.14,14,3.8,3.2,2.3,0.842105263,9,55.8,2.056005895
f1316588-291c-4adb-9620-9bee205a6683-00070bcc,Entrance,2.901,6.672,6.98,1.59,1.9,2.3,1.194968553,9,21.856,3.275632091
f1316588-291c-4adb-9620-9bee205a6683-00070bcd,Storage,3.06,7.038,7,1.8,1.7,2.3,0.944444444,6,22.22,3.157146917
f1316588-291c-4adb-9620-9bee205a6683-00070edc,Bedroom,9.024,20.755,12.04,2.82,3.2,2.3,1.134751773,5,45.74,2.203785076
f1316588-291c-4adb-9620-9bee205a6683-00070edd,Bedroom,6.016,13.837,10.16,1.88,3.2,2.3,1.70212766,4,35.4,2.558395005
f1316588-291c-4adb-9620-9bee205a6683-00070ede,Evacuation room,2.58,5.934,6.44,1.72,1.5,2.3,0.872093023,4,19.972,3.365689248
f1316588-291c-4adb-9620-9bee205a6683-00070edf,Balcony,2.82,6.486,6.76,1.88,1.5,2.3,0.79787234,4,21.188,3.266728338
f1316588-291c-4adb-9620-9bee205a6683-00070ee0,Balcony,3.6,8.28,7.6,1.8,2,2.3,1.111111111,4,24.68,2.980676329
f1316588-291c-4adb-9620-9bee205a6683-00070ee1,AD/PD,0.954,2.194,4.38,1.59,0.6,2.3,0.377358491,4,11.982,5.460760186
f1316588-291c-4adb-9620-9bee205a6683-00070ee2,Bathroom,3.657,8.411,7.78,1.59,2.3,2.3,1.446540881,5,25.208,2.99699207
f1316588-291c-4adb-9620-9bee205a6683-00070ee3,Bathroom,3.71,8.533,8.8,1.7,2.7,2.3,1.588235294,8,27.66,3.241532872
f1316588-291c-4adb-9620-9bee205a6683-00070ee4,AD/PD,1.2,2.76,5.2,0.6,2,2.3,3.333333333,5,14.36,5.202898551
f1316588-291c-4adb-9620-9bee205a6683-00070ee5,Living room,11.492,26.432,13.56,3.38,3.4,2.3,1.00591716,5,54.172,2.049516488
f1316588-291c-4adb-9620-9bee205a6683-00070ee6,Hallway,8.328,19.154,15.98,6.69,1.3,2.3,0.19431988,13,53.41,2.788393267
f1316588-291c-4adb-9620-9bee205a6683-00070ee7,Kitchen,11.44,26.312,13.8,2.9,4,2.3,1.379310345,8,54.62,2.075858924
f1316588-291c-4adb-9620-9bee205a6683-00070ee8,Dress room,4.75,10.925,8.8,1.9,2.5,2.3,1.315789474,5,29.74,2.722196796
f1316588-291c-4adb-9620-9bee205a6683-00070ee9,Bedroom,11.8,27.14,14,3.8,3.2,2.3,0.842105263,9,55.8,2.056005895
f1316588-291c-4adb-9620-9bee205a6683-00070eea,Entrance,2.901,6.672,6.98,1.59,1.9,2.3,1.194968553,9,21.856,3.275632091
f1316588-291c-4adb-9620-9bee205a6683-00070eeb,Storage,3.06,7.038,7,1.8,1.7,2.3,0.944444444,6,22.22,3.157146917
f1316588-291c-4adb-9620-9bee205a6683-000718c1,Bedroom,5.766,13.262,9.92,1.86,3.1,2.3,1.666666667,4,34.348,2.589995325
